country,year,Life Ladder,Log GDP per capita,Freedom to make life choices,Generosity,Confidence in national government,suicides_no,GPI
Argentina,2011,6.775805473,9.884780884,0.815802038,-0.170261562,0.607537687,2912,1.852
Argentina,2012,6.468387127,9.863960266,0.747498393,-0.143875062,0.418255478,3248,1.763
Argentina,2013,6.582260132,9.877256393,0.737250388,-0.126476035,0.433749259,2987,1.907
Argentina,2014,6.671114445,9.841482162,0.745057762,-0.16044876,0.408961415,3231,1.789
Argentina,2015,6.69713068,9.858328819,0.881223679,-0.170244098,0.378169239,3073,1.865
Armenia,2011,4.260491371,8.856818199,0.464524716,-0.211577132,0.335884422,67,2.26
Armenia,2012,4.319711685,8.924141884,0.501863778,-0.201538891,0.285362303,79,2.238
Armenia,2013,4.277191162,8.952596664,0.504081845,-0.181962714,0.260400474,67,2.123
Armenia,2014,4.453083038,8.983579636,0.506487131,-0.205098018,0.214914635,58,2.097
Armenia,2015,4.34831953,9.011393547,0.551026642,-0.189388379,0.170927867,74,2.028
Armenia,2016,4.325471878,9.010698318,0.610986948,-0.157248631,0.184713036,67,2.218
Australia,2011,7.405616283,10.64290237,0.944586456,0.360889763,0.530786693,2392,1.455
Australia,2012,7.195585728,10.66322899,0.935146272,0.265168518,0.420419186,2580,1.494
Australia,2013,7.364169121,10.67169762,0.933379173,0.260279536,0.455871463,2608,1.438
Australia,2014,7.288550377,10.68160057,0.922932267,0.31003502,0.464676231,2891,1.414
Australia,2015,7.309060574,10.6901989,0.921871006,0.323258132,0.478556842,3027,1.329
Austria,2011,7.470512867,10.70218182,0.939355612,0.129719824,0.406920105,1288,1.337
Austria,2012,7.400688648,10.70440388,0.919703901,0.115938991,0.376573861,1276,1.328
Austria,2013,7.498802662,10.6987648,0.921734452,0.166400507,0.417099237,1291,1.25
Austria,2014,6.949999809,10.69920254,0.885026872,0.115640186,0.407695413,1314,1.2
Austria,2015,7.07644701,10.69885254,0.900305152,0.09687189,0.454789877,1251,1.198
Austria,2016,7.048071861,10.70244312,0.888513982,0.078159958,0.432638228,1204,1.278
Bahrain,2011,4.82397604,10.60074043,0.869870365,-0.059311684,,18,2.398
Bahrain,2012,5.027186871,10.62035942,0.681822896,,,19,2.247
Bahrain,2013,6.689711094,10.66149044,0.809205949,,,5,2.109
Bahrain,2014,6.165133953,10.688241,,,,9,2.225
Belarus,2011,5.225307941,9.7507267,0.656010866,-0.175661787,,2172,2.283
Belarus,2013,5.876466274,9.778838158,0.723431289,-0.185315251,0.507824779,1902,2.117
Belarus,2014,5.812400818,9.795022964,0.647184551,-0.056135096,0.507746696,1741,2.078
Belgium,2011,7.111363888,10.6273756,0.880153596,-0.01785933,0.289129466,2088,1.413
Belgium,2012,6.935122013,10.62246037,0.855266631,-0.053328026,0.44011718,2026,1.376
Belgium,2013,7.10366106,10.61957264,0.890711069,0.013638751,0.554124534,1895,1.339
Belgium,2014,6.855329037,10.63007927,0.86095351,-0.001687139,0.469111621,1899,1.354
Belgium,2015,6.904219151,10.63845348,0.869474947,0.059581742,0.459024221,1867,1.365
Bosnia and Herzegovina,2011,4.994670868,9.200452805,0.333312094,-0.035492908,,5,1.893
Bosnia and Herzegovina,2014,5.248954296,9.260727882,0.411937386,0.231976315,0.095099099,313,1.902
Brazil,2011,7.037816525,9.614010811,0.833655775,-0.082391396,0.502891362,9822,2.04
Brazil,2012,6.660003662,9.623767853,0.848606348,,0.458935678,10295,2.017
Brazil,2013,7.140282631,9.644256592,0.784814954,-0.104778685,0.393331289,10513,2.051
Brazil,2014,6.980998993,9.640450478,0.713814318,-0.125236154,0.355228692,10631,2.073
Brazil,2015,6.546896935,9.595779419,0.798935294,-0.025475523,0.198534787,11163,2.122
Bulgaria,2011,3.875382423,9.659895897,0.663527906,-0.230002597,0.265244752,763,1.845
Bulgaria,2012,4.222297192,9.665997505,0.641256452,-0.173897162,0.342922807,872,1.699
Bulgaria,2013,3.993020535,9.680178642,0.60321337,-0.193329453,0.170892313,721,1.663
Bulgaria,2014,4.438439846,9.699062347,0.575595915,-0.056858663,0.140402734,724,1.637
Canada,2011,7.426053524,10.63502026,0.950925291,0.245647863,0.553290546,3728,1.355
Canada,2012,7.415144444,10.64052105,0.917961121,0.282571763,0.523448169,3926,1.317
Canada,2013,7.593793869,10.6534729,0.916013896,0.308129936,0.505976021,4054,1.306
Chile,2011,6.526334763,9.925136566,0.700734138,0.1029673,0.322867334,2027,1.71
Chile,2012,6.599128723,9.967881203,0.733610928,0.186328977,0.343267798,1841,1.616
Chile,2013,6.74015379,9.998721123,0.736887336,0.075803965,0.3072685,1738,1.589
Chile,2014,6.844238281,10.00763416,0.733326375,0.20803766,0.399530023,1789,1.591
Chile,2015,6.532749653,10.0220089,0.76888144,0.03110862,0.300492525,1838,1.563
Colombia,2011,6.463952541,9.349796295,0.810907423,-0.077774651,0.445631891,2044,2.7
Colombia,2012,6.374879837,9.379259109,0.827868104,-0.013808967,0.357382864,2119,2.625
Colombia,2013,6.606550694,9.417053223,0.841173172,-0.075136222,0.292708308,2068,2.634
Colombia,2014,6.44878912,9.450613976,0.801191449,-0.094677046,0.298372507,2126,2.701
Colombia,2015,6.387571812,9.471579552,0.790897965,-0.104796246,0.271786749,2332,2.72
Costa Rica,2011,7.228888512,9.502802849,0.926105797,-0.029892458,0.322533011,316,1.681
Costa Rica,2012,7.272250175,9.538064003,0.92891407,0.048832808,0.280074805,302,1.659
Costa Rica,2013,7.158000469,9.549329758,0.897879303,0.021019099,0.26219371,311,1.755
Costa Rica,2014,7.247086048,9.573064804,0.926707387,0.012461432,0.40445292,268,1.755
Croatia,2011,5.385372639,9.940322876,0.516932428,-0.199542955,,702,1.699
Croatia,2012,6.027634621,9.920677185,0.541909754,-0.244161829,0.311118603,776,1.648
Croatia,2013,5.885462761,9.916960716,0.626699686,-0.205661803,0.257140577,692,1.571
Croatia,2014,5.380692482,9.920071602,0.518878043,0.130300209,0.15500845,722,1.548
Croatia,2015,5.205438137,9.951515198,0.693523049,-0.098292612,0.364868402,739,1.55
Croatia,2016,5.416875362,9.98966217,0.671970546,-0.06632413,0.30339098,683,1.633
Cyprus,2011,6.689608574,10.41007519,0.745468855,0.174038678,0.399997503,30,2.013
Cyprus,2012,6.180507183,10.36377907,0.724629581,0.092312515,0.3364124,36,1.957
Cyprus,2013,5.438952446,10.30492973,0.656267941,0.095890798,0.274080217,45,1.84
Cyprus,2014,5.627123833,10.30179977,0.715065658,0.053457368,0.244740322,44,1.844
Cyprus,2015,5.439161301,10.32709026,0.62803483,0.108338967,0.203454718,40,1.924
Cyprus,2016,5.794618607,10.35237598,0.756220996,-0.033245489,0.333909512,36,1.994
Czech Republic,2011,6.331490993,10.26804066,0.787180007,-0.10824278,0.206286699,1590,1.32
Czech Republic,2012,6.334149361,10.25861073,0.739808738,-0.155507952,0.169811338,1658,1.396
Czech Republic,2013,6.697655678,10.25343132,0.725945652,-0.15745765,0.242542624,1577,1.404
Czech Republic,2014,6.483729839,10.27916718,0.800421,-0.169764236,0.339732826,1489,1.381
Czech Republic,2015,6.608017445,10.32893276,0.808484197,-0.147829607,0.435425878,1387,1.341
Czech Republic,2016,6.735627174,10.3526144,0.850328267,-0.199620038,0.415120721,1318,1.36
Denmark,2011,7.78823185,10.70107079,0.934760153,0.292957395,0.471823335,589,1.289
Denmark,2012,7.519909382,10.69957066,0.932627916,0.134191722,0.534252763,661,1.239
Denmark,2013,7.588606834,10.70469189,0.920254648,0.210207686,0.391405106,610,1.207
Denmark,2014,7.507559299,10.71568489,0.941572249,0.113418654,0.457836896,629,1.193
Denmark,2015,7.514424801,10.72455978,0.94143641,0.217952549,0.579888642,564,1.15
Ecuador,2011,5.795088291,9.203003883,0.7883057,-0.158239976,0.593581021,918,2.116
Ecuador,2012,5.960716248,9.242050171,0.825275123,-0.087015308,0.637234926,976,2.028
Ecuador,2013,6.019206047,9.274765968,0.78679812,-0.193855524,0.6208269,676,2.059
Ecuador,2014,5.945851803,9.296648026,0.719104826,-0.170592427,0.648474455,734,2.042
Ecuador,2015,5.964075089,9.282580376,0.800870478,-0.117339171,0.522347212,1073,1.997
Egypt,2011,4.174158573,9.192565918,0.589537799,-0.158401266,0.63178885,176,2.023
Egypt,2012,4.204156876,9.192422867,0.451543361,-0.144803181,0.601901174,211,2.22
Egypt,2013,3.558520317,9.191586494,0.473774552,-0.148239717,0.292456508,149,2.258
Egypt,2014,4.885072708,9.19824791,0.577937961,-0.133438155,0.703883886,88,2.571
Egypt,2015,4.762538433,9.219856262,0.659261465,-0.095742442,0.771612763,48,2.382
El Salvador,2011,4.741294861,8.781316757,0.747246385,-0.124661237,0.490076542,485,2.215
El Salvador,2012,5.934371471,8.804447174,0.682744801,-0.153194159,0.312310934,512,2.22
El Salvador,2013,6.325063229,8.823185921,0.71557045,-0.148116946,0.358650446,484,2.24
El Salvador,2014,5.856523514,8.837931633,0.77801466,-0.192817748,0.315775812,386,2.28
Estonia,2011,5.486819744,10.10818481,0.735225379,-0.171402186,0.417540222,218,1.798
Estonia,2012,5.363927841,10.15393448,0.696825743,-0.196030051,0.272975951,237,1.715
Estonia,2013,5.367445946,10.17667389,0.753558695,-0.205494925,0.260637581,218,1.71
Estonia,2014,5.55598259,10.20779419,0.773327112,-0.15770036,0.414985895,241,1.635
Estonia,2015,5.628908634,10.22374249,0.814692378,-0.16834341,0.3366898,195,1.677
Finland,2011,7.354225159,10.6135788,0.936448395,0.096755996,0.565402389,912,1.352
Finland,2012,7.420209408,10.59445572,0.920968115,-0.00570858,0.597941577,873,1.348
Finland,2013,7.444635868,10.58223915,0.918625355,0.034851782,0.420593739,887,1.297
Finland,2014,7.384571075,10.57176685,0.933043957,-0.005278334,0.468558848,789,1.297
Finland,2015,7.447925568,10.56982231,0.929861903,0.10706687,0.55760026,731,1.277
France,2011,6.959185123,10.53051186,0.903366625,-0.106961221,0.375089258,10408,1.697
France,2012,6.649365425,10.52749729,0.841320336,-0.153478965,0.44062534,9743,1.71
France,2013,6.66712141,10.52809525,0.877795756,-0.128929943,0.395130515,9600,1.863
France,2014,6.466867924,10.53272915,0.803474188,-0.122516043,0.263801724,8881,1.808
Georgia,2011,4.203030586,8.897694588,0.632464528,-0.238249794,0.657343626,99,2.558
Georgia,2012,4.254445553,8.972251892,0.65872401,-0.252974212,0.610841632,104,2.541
Georgia,2013,4.348920822,9.018454552,0.722127616,-0.238760307,0.633562744,157,2.511
Georgia,2014,4.287508011,9.076712608,0.71978116,-0.218929097,0.528196216,194,2.225
Georgia,2015,4.121940613,9.107768059,0.639944971,-0.191066504,0.254327297,192,1.973
Germany,2011,6.621312141,10.6617794,0.906293273,0.028837385,0.424583137,10153,1.416
Germany,2012,6.702362061,10.66480923,0.904440463,0.066865228,0.516928196,9896,1.424
Germany,2013,6.965125084,10.66696453,0.894312978,0.020103833,0.557760656,10091,1.431
Germany,2014,6.984214306,10.68190861,0.898683429,0.083833963,0.601368845,10217,1.423
Germany,2015,7.037137508,10.69053364,0.889428854,0.173545972,0.628003657,10088,1.379
Greece,2011,5.372039795,10.17127228,0.528125942,-0.317883313,0.175151214,477,1.947
Greece,2012,5.096354008,10.10087299,0.37261042,-0.306134254,0.126218989,508,1.976
Greece,2013,4.720251083,10.07517338,0.425966531,-0.273188949,0.143608585,533,1.957
Greece,2014,4.75623703,10.08920479,0.369156331,-0.289120018,0.188292742,565,2.052
Greece,2015,5.622519016,10.09288025,0.531736314,-0.27328527,0.437318921,529,1.878
Guatemala,2011,5.743353844,8.831199646,0.762963116,0.006181439,0.355844259,359,2.405
Guatemala,2012,5.855717182,8.839147568,0.865472019,0.017802276,0.502455831,420,2.287
Guatemala,2013,5.984601498,8.854383469,0.88400501,0.042661797,0.467045605,455,2.221
Guatemala,2014,6.536030769,8.874507904,0.843398929,0.10562703,0.373200327,512,2.248
Guatemala,2015,6.464986801,8.894631386,0.868639767,0.049555305,0.272380829,494,2.215
Hungary,2011,4.917602539,10.03632164,0.631100118,-0.095548697,0.35979417,2420,1.495
Hungary,2012,4.683358192,10.02491188,0.56923151,-0.142413616,0.209778264,2349,1.476
Hungary,2013,4.914466858,10.04841042,0.673728287,-0.11943166,0.327895939,2092,1.52
Hungary,2014,5.18056345,10.09251308,0.494474709,-0.156426847,0.308385164,1925,1.482
Hungary,2015,5.34438324,10.12800789,0.557721376,-0.204279527,0.279211909,1868,1.463
Hungary,2016,5.448901653,10.15285015,0.55395174,-0.19341144,0.30377233,1762,1.534
Iceland,2012,7.590660095,10.59492397,0.904654503,0.239700317,0.257335573,37,1.113
Iceland,2013,7.501394272,10.62764359,0.9232077,0.304012835,0.456565946,49,1.162
Iceland,2015,7.498070717,10.67007351,0.94048512,0.298925996,0.427228123,40,1.148
Iceland,2016,7.510034561,10.7283411,0.951609552,0.278244555,0.363518298,40,1.192
Iran,2013,5.139579296,9.704015732,0.730214715,0.185000196,0.687470555,2442,2.473
Iran,2014,4.682224274,9.736499786,0.766822994,0.210001796,0.744599879,2485,2.437
Iran,2015,4.749955654,9.711170197,0.780383229,0.145681813,0.753276825,2372,2.409
Ireland,2011,7.006904125,10.71768761,0.952034354,0.379793316,0.529104173,554,1.37
Ireland,2012,6.964645386,10.71382141,0.90219456,0.29874143,0.3458727,542,1.328
Ireland,2013,6.760085106,10.72481155,0.883772016,0.327679008,0.285015553,487,1.37
Ireland,2014,7.018379211,10.7974987,0.921629548,0.259822041,0.459882379,486,1.384
Israel,2011,7.433147907,10.32739449,0.722269237,0.138536528,0.271090537,409,2.901
Israel,2012,7.110854626,10.32817173,0.681439221,0.150700644,0.343569756,430,2.842
Israel,2013,7.320563316,10.34980011,0.739001632,0.148229972,0.451302052,372,2.73
Israel,2014,7.400570393,10.36413765,0.706974626,0.091592588,0.443641841,382,2.689
Israel,2015,7.07941103,10.37425232,0.752783954,0.105966061,0.405343235,342,2.781
Italy,2011,6.057086468,10.50087643,0.567738414,-0.020065753,0.259559691,4153,1.775
Italy,2012,5.839313984,10.46958542,0.570094943,0.110555314,0.280694604,4257,1.69
Italy,2013,6.009373665,10.44056034,0.499168754,-0.104565948,0.145972148,4290,1.663
Italy,2014,6.026585102,10.43252182,0.623531222,-0.06720639,0.309035748,4147,1.675
Italy,2015,5.847683907,10.44295979,0.574765742,-0.066691227,0.260625869,3988,1.669
Jamaica,2011,5.374446392,8.999515533,0.795613527,-0.061701879,0.364988148,50,2.244
Japan,2011,6.262793541,10.48499584,0.814396441,-0.062772609,0.231063634,28766,1.287
Japan,2012,5.968216419,10.50143337,0.752831519,,0.169178054,26338,1.326
Japan,2013,5.959361553,10.52268124,0.821416557,-0.157917306,0.358106881,25991,1.293
Japan,2014,5.922620773,10.52774811,0.838051736,-0.150382042,0.37951529,24357,1.316
Japan,2015,5.879684448,10.54225731,0.831694186,-0.166381299,0.352867216,23092,1.323
Kazakhstan,2011,5.735662937,9.965378761,0.877888083,-0.245874509,0.716494739,3401,2.137
Kazakhstan,2012,5.759469509,9.998175621,0.839832306,-0.181642011,0.726160645,3240,2.151
Kazakhstan,2013,5.835483074,10.04205036,0.781591058,-0.239924133,0.662005246,3512,2.031
